French,English
̻tre,to be
avoir,to have
pouvoir,to be able (can)
faire,to do/to make
mettre,to put/to place
dire,to say/to tell
devoir,to have to/must, to owe
prendre,to take/to catch/to capture
donner,to give/to produce
aller,to go
vouloir,to want/to wish
savoir,to know
falloir,to have to
voir,to see
demander,to ask/to request
trouver,to find/to discover
rendre,to return (something)/to give back
venir,to come
passer,to pass/to go past
comprendre,to understand/to include/to comprehend
rester,to stay/to remain
tenir,to hold/to keep
porter,to carry/to wear
parler,to speak/to talk
montrer,to show/to display